"userID","stimID","timestamp","enforcementType","users_stimuli_enforcementID"
"ERNL10043","1","2014-02-25 14:24:31","hardEnforce","103"
"ERNL10043","1","2014-02-25 14:27:55","hardEnforce","104"
"ERNL10044","1","2014-02-26 07:03:26","hardEnforce","105"
"ERNL10044","1","2014-02-26 07:08:28","hardEnforce","106"
"ERNL10046","1","2014-02-26 07:17:52","hardEnforce","107"
"ERNL10046","1","2014-02-26 07:22:47","hardEnforce","108"
"ERNL10046","1","2014-02-26 07:26:03","hardEnforce","109"
"ERNL10046","1","2014-02-26 07:35:57","hardEnforce","110"
"ERNL10047","1","2014-02-26 07:42:11","hardEnforce","111"
"ERNL10047","1","2014-02-26 07:46:03","hardEnforce","112"
"GMNL10050","1","2014-02-26 09:51:16","hardEnforce","113"
"GMNL10050","1","2014-02-26 09:52:37","hardEnforce","114"
"GMNL10051","1","2014-02-26 09:59:28","hardEnforce","115"
"GMNL10051","1","2014-02-26 10:00:59","hardEnforce","116"
"GMNL10052","1","2014-02-26 10:08:41","hardEnforce","117"
"GMNL10052","1","2014-02-26 10:09:55","hardEnforce","118"
"mjtest2","0","2014-02-26 10:20:26","hardEnforce","119"
"GMNL10053","1","2014-02-26 10:21:03","hardEnforce","120"
"GMNL10053","1","2014-02-26 10:22:19","hardEnforce","121"
"mjtest2","1","2014-02-26 10:23:10","hardEnforce","122"
"mjtest2","1","2014-02-26 10:27:05","hardEnforce","123"
"mjtest5","1","2014-02-26 10:31:53","hardEnforce","124"
"mjtest15","1","2014-02-26 11:06:22","hardEnforce","125"
"mjtest16","1","2014-02-26 11:12:48","hardEnforce","126"
"GMNL10054","1","2014-02-26 13:17:41","hardEnforce","127"
"GMNL10056","1","2014-02-26 13:36:26","hardEnforce","128"
"ERNL10048","1","2014-02-26 17:25:05","hardEnforce","129"
"ERNL10048","1","2014-02-26 17:25:27","hardEnforce","130"
"ERNL10049","1","2014-02-26 18:36:57","hardEnforce","131"
"ERNL10049","1","2014-02-26 18:39:40","hardEnforce","132"
"SSINL2000970","2","2014-03-03 12:42:50","softEnforce","133"
"SSINL2000994","1","2014-03-03 14:01:59","hardEnforce","134"
"SSINL2000994","1","2014-03-03 14:03:59","hardEnforce","135"
"SSINL2001059","1","2014-03-04 05:00:03","hardEnforce","136"
"SSINL2001068","2","2014-03-04 05:24:18","softEnforce","137"
"SSINL2001064","1","2014-03-04 05:25:48","hardEnforce","138"
"SSINL2001076","1","2014-03-04 06:38:34","hardEnforce","139"
"SSINL2001076","1","2014-03-04 06:39:34","hardEnforce","140"
"SSINL2001076","1","2014-03-04 06:40:53","hardEnforce","141"
"SSINL2001110","1","2014-03-04 09:37:39","hardEnforce","142"
"SSINL2001110","1","2014-03-04 09:38:11","hardEnforce","143"
"SSINL2001110","1","2014-03-04 09:39:23","hardEnforce","144"
"SSINL2001110","1","2014-03-04 09:39:55","hardEnforce","145"
"SSINL2001131","1","2014-03-04 10:24:52","hardEnforce","146"
"SSINL2001131","1","2014-03-04 10:26:31","hardEnforce","147"
"SSINL2001131","1","2014-03-04 10:28:52","hardEnforce","148"
"SSINL2001131","1","2014-03-04 10:29:42","hardEnforce","149"
"SSINL2001131","1","2014-03-04 10:30:33","hardEnforce","150"
"SSINL2001152","1","2014-03-04 11:04:03","hardEnforce","151"
"SSINL2001152","1","2014-03-04 11:05:22","hardEnforce","152"
"SSINL2001163","1","2014-03-04 12:13:07","hardEnforce","153"
"SSINL2001190","1","2014-03-04 13:14:44","hardEnforce","154"
"SSINL2001194","2","2014-03-04 13:30:48","softEnforce","155"
"SSINL2001191","1","2014-03-04 13:33:25","hardEnforce","156"
"SSINL2001191","1","2014-03-04 13:35:10","hardEnforce","157"
"SSINL2001191","1","2014-03-04 13:37:24","hardEnforce","158"
"SSINL2001191","1","2014-03-04 13:38:38","hardEnforce","159"
"SSINL2001191","1","2014-03-04 13:39:48","hardEnforce","160"
"SSINL2001191","1","2014-03-04 13:41:13","hardEnforce","161"
"SSINL2001198","1","2014-03-04 13:53:31","hardEnforce","162"
"SSINL2001199","1","2014-03-04 13:56:51","hardEnforce","163"
"SSINL2001199","1","2014-03-04 13:57:39","hardEnforce","164"
"SSINL2001199","1","2014-03-04 14:02:00","hardEnforce","165"
"SSINL2001204","1","2014-03-04 14:11:16","hardEnforce","166"
"SSINL2001204","1","2014-03-04 14:14:16","hardEnforce","167"
"SSINL2001311","1","2014-03-05 10:58:27","hardEnforce","168"
"SSINL2001311","1","2014-03-05 10:58:42","hardEnforce","169"
"SSINL2001311","1","2014-03-05 11:00:15","hardEnforce","170"
"SSINL2001311","1","2014-03-05 11:00:52","hardEnforce","171"
"SSINL2001311","1","2014-03-05 11:02:22","hardEnforce","172"
"SSINL2001311","1","2014-03-05 11:06:01","hardEnforce","173"
"SSINL2001311","1","2014-03-05 11:06:37","hardEnforce","174"
"SSINL2001311","1","2014-03-05 11:06:42","hardEnforce","175"
"SSINL2001311","1","2014-03-05 11:16:36","hardEnforce","176"
"SSINL2001311","1","2014-03-05 11:17:05","hardEnforce","177"
"SSINL2001311","1","2014-03-05 11:17:51","hardEnforce","178"
"SSINL2001311","1","2014-03-05 11:18:21","hardEnforce","179"
"SSINL2001311","1","2014-03-05 13:24:14","hardEnforce","180"
"SSINL2001311","1","2014-03-05 13:26:11","hardEnforce","181"
"SSINL2001342","1","2014-03-05 16:05:39","hardEnforce","182"
"SSINL2001342","1","2014-03-05 16:07:35","hardEnforce","183"
"SSINL2001342","1","2014-03-05 16:08:01","hardEnforce","184"
"SSINL2001311","1","2014-03-06 01:09:44","hardEnforce","185"
"SSINL2001311","1","2014-03-06 01:10:00","hardEnforce","186"
"SSINL2001351","0","2014-03-06 05:39:14","hardEnforce","187"
"SSINL2001351","0","2014-03-06 05:41:05","hardEnforce","188"
"SSINL2001351","0","2014-03-06 05:53:12","hardEnforce","189"
"SSINL2001351","0","2014-03-06 05:53:16","hardEnforce","190"
"SSINL2001351","0","2014-03-06 05:53:27","hardEnforce","191"
"SSINL2001351","0","2014-03-06 05:53:31","hardEnforce","192"
"SSINL2001359","1","2014-03-06 09:09:48","hardEnforce","193"
"SSINL2001359","1","2014-03-06 09:10:34","hardEnforce","194"
"SSINL2001359","1","2014-03-06 09:11:01","hardEnforce","195"
"SSINL2001362","1","2014-03-06 10:19:33","hardEnforce","196"
"SSINL2001362","1","2014-03-06 10:20:15","hardEnforce","197"
"SSINL2001311","1","2014-03-06 10:52:27","hardEnforce","198"
"SSINL2001311","1","2014-03-06 10:52:40","hardEnforce","199"
"SSINL2001311","1","2014-03-06 10:52:48","hardEnforce","200"
"SSINL2001311","1","2014-03-06 11:52:02","hardEnforce","201"
"SSINL2001311","1","2014-03-06 11:52:23","hardEnforce","202"
"SSINL2001311","1","2014-03-06 11:52:50","hardEnforce","203"
"SSINL2001311","1","2014-03-06 11:53:09","hardEnforce","204"
"SSINL2001311","1","2014-03-06 15:50:49","hardEnforce","205"
"SSINL2001311","1","2014-03-06 15:50:59","hardEnforce","206"
"SSINL2001311","1","2014-03-06 15:51:51","hardEnforce","207"
