"userid","segment","cell","timestamp","done","doneTime"
"SSINL2000236","4","2","2014-01-21 04:51:09","True","2014-01-21 04:51:09"
"SSINL2000242","4","3","2014-01-21 04:48:22",,"2014-01-21 04:48:22"
"SSINL2000259","2","1","2014-01-21 05:14:13","True","2014-01-21 05:14:13"
"SSINL2000286","2","3","2014-01-21 06:12:15",,"2014-01-21 06:12:15"
"SSINL2000307","2","3","2014-01-21 06:39:57",,"2014-01-21 06:39:57"
"SSINL2000308","1","3","2014-01-21 06:40:05",,"2014-01-21 06:40:05"
"SSINL2000338","3","2","2014-01-21 07:11:04","True","2014-01-21 07:11:04"
"SSINL2000337","3","4","2014-01-21 07:20:08","True","2014-01-21 07:20:08"
"SSINL2000343","2","4","2014-01-21 07:19:08",,"2014-01-21 07:19:08"
"SSINL2000364","2","3","2014-01-21 08:04:26","True","2014-01-21 08:04:26"
"SSINL2000371","3","1","2014-01-21 08:00:38","True","2014-01-21 08:00:38"
"ER14094","2","2","2014-01-21 08:12:58","True","2014-01-21 08:12:58"
"SSINL2000406","2","1","2014-01-21 09:11:32","True","2014-01-21 09:11:32"
"SSINL2000419","4","4","2014-01-21 09:44:28",,"2014-01-21 09:44:28"
"SSINL2000424","1","4","2014-01-21 09:56:56","True","2014-01-21 09:56:56"
"SSINL2000423","4","2","2014-01-21 09:55:19","True","2014-01-21 09:55:19"
"SSINL2000432","3","2","2014-01-21 10:05:18","True","2014-01-21 10:05:18"
"SSINL2000470","2","1","2014-01-21 11:11:07","True","2014-01-21 11:11:07"
"SSINL2000473","2","2","2014-01-21 11:21:12","True","2014-01-21 11:21:12"
"CINTNL3000002","1","4","2014-01-21 12:07:59","True","2014-01-21 12:07:59"
"SSINL2000479","3","3","2014-01-21 11:38:08","True","2014-01-21 11:38:08"
"SSINL2000482","3","1","2014-01-21 11:40:33","True","2014-01-21 11:40:33"
"SSINL2000489","1","1","2014-01-21 11:58:58","True","2014-01-21 11:58:58"
"SSINL2000495","2","4","2014-01-21 12:11:41",,"2014-01-21 12:11:41"
"GMNL10002","2","3","2014-02-02 16:27:57","True","2014-02-02 16:27:57"
"GMNL10003","1","1","2014-02-02 17:13:17","True","2014-02-02 17:13:17"
"GMNL10004","1","1","2014-02-02 17:33:27","True","2014-02-02 17:33:27"
"GMNL10005","3","4","2014-02-02 22:45:01","True","2014-02-02 22:45:01"
"GMNL10006","4","3","2014-02-02 23:07:06","True","2014-02-02 23:07:06"
"GMNL10007","1","3","2014-02-02 23:41:21","True","2014-02-02 23:41:21"
"GMNL10008","2","2","2014-02-03 00:03:12","True","2014-02-03 00:03:12"
"GMNL10009","4","3","2014-02-03 00:41:18",,"2014-02-03 00:41:18"
"GMNL10010","4","1","2014-02-03 00:47:32",,"2014-02-03 00:47:32"
"GMNL10012","4","4","2014-02-03 01:07:27","True","2014-02-03 01:07:27"
"ERNL10094","2","4","2014-02-03 17:48:14","True","2014-02-03 17:48:14"
"GMNL10013","1","4","2014-02-03 23:12:18","True","2014-02-03 23:12:18"
"GMNL10014","2","4","2014-02-03 23:32:33","True","2014-02-03 23:32:33"
"GMNL10015","3","4","2014-02-04 00:06:32","True","2014-02-04 00:06:32"
"GMNL10016","4","4","2014-02-04 00:31:42","True","2014-02-04 00:31:42"
"GMNL10017","1","4","2014-02-04 00:48:27","True","2014-02-04 00:48:27"
"GMNL10018","1","4","2014-02-04 01:50:55","True","2014-02-04 01:50:55"
"GMNL10049","2","4","2014-02-04 12:40:37","True","2014-02-04 12:40:37"
"GMNL10019","3","4","2014-02-04 12:53:49","True","2014-02-04 12:53:49"
"GM14100","4","4","2014-02-04 14:16:38","True","2014-02-04 14:16:38"
"ERNL10095","4","4","2014-02-05 13:14:32",,"2014-02-05 13:14:32"
"ERNL10096","1","4","2014-02-05 13:23:03",,"2014-02-05 13:23:03"
"ERNL10080","3","4","2014-02-06 08:26:09","True","2014-02-06 08:26:09"
"ERNL10081","1","4","2014-02-06 08:39:23","True","2014-02-06 08:39:23"
"ERNL10082","4","4","2014-02-06 16:51:02",,"2014-02-06 16:51:02"
"ERNL10083","2","4","2014-02-06 16:56:15",,"2014-02-06 16:56:15"
"undefined","0","0","2014-02-07 09:12:08","True","2014-02-07 09:12:08"
"ERNL10079","3","4","2014-02-07 09:19:27","True","2014-02-07 09:19:27"
"ERNL10078","3","4","2014-02-07 09:29:19",,"2014-02-07 09:29:19"
"ERNL10077","1","4","2014-02-07 09:42:30","True","2014-02-07 09:42:30"
"ERNL10076","1","4","2014-02-07 09:56:22","True","2014-02-07 09:56:22"
"ERNL10075","1","4","2014-02-07 12:47:03","True","2014-02-07 12:47:03"
"ERNL10074","3","4","2014-02-07 12:54:39","True","2014-02-07 12:54:39"
"ERNL10073","4","4","2014-02-09 15:32:38","True","2014-02-09 15:32:38"
"ERNL10072","1","4","2014-02-09 15:59:45",,"2014-02-09 15:59:45"
"ERNL10071","1","4","2014-02-09 17:10:01","True","2014-02-09 17:10:01"
